DATUM OD,DATUM DO,NAZEV,MESTO,TYP,KATEGORIE,DISCIPLINY,PORADATEL,KLUB,KLUB CISLO,REGISTRACE DO,URL
"""DATUM OD""","""DATUM DO""",NAZEV,MESTO,TYP,KATEGORIE,DISCIPLINY,PORADATEL,KLUB,"""KLUB CISLO""","""REGISTRACE DO""",URL
2024-03-02,2024-03-02,"""Jihoesk vzduchovka +Jihoesk KP""",Borek,"""2. kategorie""","""Mui, eny, Dorostenci st.""","""VzPi 60, VzPi 40, VzPu 60 ISSF, VzPu 40 ISSF""",,,301,2024-02-28,https://shooting.cz/cs/souteze/2024-03-02-jihoceska-vzduchovka-jihocesky-kp-1
2024-03-02,2024-03-02,"""Karlovarsk liga VzPu 4.kolo + vyhodnocen""","""Karlovy Vary - Bezov""","""2. kategorie""","""Mui, eny, Junioi, Juniorky, Dorostenci st., Dorostenky st., dorostenci ml., dorostenky ml., ci 13 a 14 let, kyn 13 a 14 let, ci do 12 let, kyn do 12 let, Senioi""","""VzPu 60 ISSF, VzPu 40 ISSF, VzPu 30 ISSF vlee, VzPu 30 ISSF vlee s oporou""",,,258,,https://shooting.cz/cs/souteze/2024-03-02-karlovarska-liga-vzpu-4-kolo-vyhodnoceni-1
2024-03-02,2024-03-02,"""VC SSK Dukla Plze Zrueno""",Plze,"""2. kategorie, ZRUENO""","""Dorostenci st., ci 13 a 14 let, ci do 12 let""","""VzPu 40 ISSF, VzPu 30 ISSF vlee""",,,370,2024-02-29,https://shooting.cz/cs/souteze/2024-03-02-vc-ssk-dukla-plzen-zruseno
2024-03-02,2024-03-02,"""Zmrzl stelec""","""Nov paka""","""3. kategorie""",Mui,"""SP 30+30""","""SSK Nov Paka """,,192,2024-03-02,https://shooting.cz/cs/souteze/2024-03-02-zmrzly-strelec-1
2024-03-02,2024-03-02,"""Chomutovsk vzduchovkov extraliga 2023 - 2024 8.kolo""",Chomutov,,"""Mui, Mui, eny, Junioi, Dorostenci st., ci 13 a 14 let, Veterni""","""VzPi 60, VzPi 40, VzPu 60 ISSF, VzPu 40 ISSF, VzPu 30 ISSF vlee""","""SSK Chomutov""",,,2023-10-15,https://shooting.cz/cs/souteze/2023-10-15-chomutovska-vzduchovkova-extraliga-2023-2024-1-kolo-2023-6
2024-03-02,2024-03-02,"""Pohr SSK Slatina Brno 2023 - 2024 5.kolo + finle""","""Brno - Zbrdovice""","""2. kategorie""","""SH1, Mui, eny, Dorostenci st., ci 13 a 14 let, ci do 12 let""","""VzPi 60, VzPi 40, VzPu 60 ISSF, VzPu 40 ISSF, VzPu 30 ISSF vlee""","""SSK Slatina Brno .0162""",,,2024-03-02,https://shooting.cz/cs/souteze/2023-11-14-pohar-ssk-slatina-brno-2023-2024-1-kolo_clone_638909
2024-03-03,2024-03-03,"""eskolipsk liga 2023/2024 4.kolo""","""esk Lpa""","""2. kategorie""","""Mui, eny, Juniorky, Dorostenci st., ci 13 a 14 let, ci do 12 let""","""VzPi 60, VzPi 40, VzPu 60 ISSF, VzPu 40 ISSF, VzPu 30 ISSF vlee, VzPu 30 ISSF vlee s oporou""","""SSK Manuice""",,,2024-02-25,https://shooting.cz/cs/souteze/2023-12-02-ceskolipska-liga-2023-2024-4-kolo-1
2024-03-03,2024-03-03,"""Extraliga drustev 10. ronk 3.kolo ZRUENO""",Plze,"""2. kategorie, ZRUENO""",Mui,"""VzPi 40""","""SSKP Rapid Plze 0232""",,,2024-03-03,https://shooting.cz/cs/souteze/2024-01-28-extraliga-druzstev-10-rocnik-3-kolo
2024-03-03,2024-03-03,"""Krajsk steleck liga mldee Zlnskho kraje 2.kolo""",Bezolupy,"""2. kategorie, Kraj""","""ci 13 a 14 let, kyn 13 a 14 let, ci do 12 let, kyn do 12 let""","""VzPu 30 ISSF vlee""",,,386,2024-02-28,https://shooting.cz/cs/souteze/2024-03-03-krajska-strelecka-liga-mladeze-zlinskeho-kraje-2-kolo-2
2024-03-03,2024-03-03,"""Putovn pohr SSK 0201 Chrast u Chrudimi 5.kolo""","""Chrast u Chrudimi""","""2. kategorie""","""SH1, Mui, eny, Veterni""","""VzPi 60, VzPi 40, VzPu 60 ISSF, VzPu 40 ISSF""","""SSK  0201 Chrast u Chrudimi""",,,2024-03-03,https://shooting.cz/cs/souteze/2023-11-05-putovni-pohar-ssk-0201-chrast-u-chrudimi-1-kolo-4
2024-03-03,2024-03-03,"""Vrchlabsko - Trutnovsk vzduchovkov liga 2023 finle""",Trutnov,"""2. kategorie""","""Mui, eny, Dorostenci st., Veterni""","""VzPi 60, VzPi 40""","""SSK  koda  Vrchlab  . 0095""",,,2024-03-03,https://shooting.cz/cs/souteze/2023-11-05-vrchlabsko-trutnovska-vzduchovkova-liga-2023-1-kolo-clone-508805-clone-983003-clone-600352-clone-106493
2024-03-03,2024-03-03,"""Zlat diabolka + 54. ronk memorilu Rudolfa Jocha a Eduarda Briskorina""",Bezolupy,"""2. kategorie""","""Mui, eny, Dorostenci st., ci 13 a 14 let, ci do 12 let""","""VzPu 60 ISSF, VzPu 40 ISSF, VzPu 30 ISSF vlee""",,,386,2024-02-28,https://shooting.cz/cs/souteze/2024-03-03-zlata-diabolka-54-rocnik-memorialu-rudolfa-jocha-a-eduarda-briskorina
2024-03-03,2024-03-03,"""Karlovarsk liga  vzduchov pistole 2023/2024 11.kolo""",Bezov,"""2. kategorie""","""Veterni 65+ let, Mui, eny, Dorostenci st., ci 13 a 14 let, Senioi""","""VzPi 60, VzPi 40, VzPi 60 s oporou, VzPi 40 s oporou""","""Karlovarsk krajsk sdruen SS""",,,2024-03-03,https://shooting.cz/cs/souteze/2023-10-15-karlovarska-liga-vzduchova-pistole-2023-2024-1-kolo_clone_355894_clone_825015
2024-03-09,2024-03-09,"""Klatovsk pohr 2023-2024 5.kolo""","""Dolany u Klatov""","""2. kategorie""","""ci 13 a 14 let, ci do 12 let""","""VzPu 30 ISSF vlee, VzPu 30 ISSF vlee s oporou""","""SSK  0173 Klatovy  """,,,2024-03-09,https://shooting.cz/cs/souteze/2023-11-11-pohar-mladeze-ssk-klatovy-2023-2024-1-kolo-4
2024-03-09,2024-03-10,"""Mistrovstv R 2024 - Vzduchov zbran""",Plze,"""1. kategorie, ebek, Sledovan""","""SH1, Mui, eny, Junioi, Juniorky, Dorostenci st., Dorostenky st., dorostenci ml., dorostenky ml., Senioi, ci""","""VzPi 60, VzPi 40, VzPu 60 ISSF, VzPu 40 ISSF""","""esk steleck svaz""",,,2024-02-26,https://shooting.cz/cs/souteze/2024-03-08-m-cr-2024-plzen-vzduchove-zbrane
2024-03-09,2024-03-09,"""O putovn pohr SSK Roov 20. ronk 4.kolo""",Roov,"""2. kategorie""","""Mui, eny, Junioi, Juniorky, Dorostenci st., ci 13 a 14 let, ci do 12 let""","""VzPu 60 ISSF, VzPu 40 ISSF, VzPu 30 ISSF vlee""","""SSK - 0899 Roov""",,,2024-03-07,https://shooting.cz/cs/souteze/2024-02-10-klon-o-putovni-pohar-ssk-rocov-20-rocnik-3-kolo
2024-03-09,2024-03-09,"""Slovansk elektronick pukov liga 2023-2024 - Finle""",Plze,"""2. kategorie""","""Mui, eny, Junioi, Juniorky, Dorostenci st.""","""VzPu 60 ISSF, VzPu 40 ISSF""","""SSK Plze  Slovany C-0015""",,,2024-03-09,https://shooting.cz/cs/souteze/2024-03-09-slovanska-elektronicka-puskova-liga-2023-2024-finale
2024-03-10,2024-03-10,"""Jarn cena""",Svitavy,"""2. kategorie""","""dorostenci ml., ci 13 a 14 let, ci do 12 let""","""VzPu 40 ISSF, VzPu 30 ISSF vlee""","""SV Svitavy""",,119,2024-03-10,https://shooting.cz/cs/souteze/2024-03-10-jarni-cena
2024-03-10,2024-03-10,"""Slovansk elektronick pistolov liga 2023-2024 - Finle""",Plze,"""2. kategorie""","""Mui, eny, Junioi, Juniorky, Dorostenci st.""","""VzPi 60, VzPi 40""","""SSK Plze  Slovany C-0015""",,,2024-03-10,https://shooting.cz/cs/souteze/2024-02-25-slovanska-elektronicka-pistolova-liga-2023-2024-finale
2024-03-16,2024-03-16,"""Jarn cena - """"Vyhnn pavouk""""""","""Nov Paka""","""2. kategorie""","""Mui, eny, Dorostenci st., Dorostenky st.""","""SM 30, LM 30""",,,192,2024-03-16,https://shooting.cz/cs/souteze/2024-03-16-jarni-cena-vyhaneni-pavouku-1
2024-03-16,2024-03-16,"""Jarn perkus - Historick zbran""",Semily,"""2. kategorie""",,"""PeRe, PeRe50m, KPiC, PePiV, PePuV, KPuV, Werndl""","""Michal Saska""",,731,2024-03-16,https://shooting.cz/cs/souteze/2024-03-16-jarni-perkus-historicke-zbrane-1
2024-03-16,2024-03-16,"""Krajsk steleck liga mldee Zlnskho kraje 3.kolo""","""Uhersk Ostroh""","""2. kategorie, Kraj""","""ci 13 a 14 let, kyn 13 a 14 let, ci do 12 let, kyn do 12 let""","""VzPu 30 ISSF vlee, VzPu 30 ISSF vlee s oporou""",,,210,2024-03-16,https://shooting.cz/cs/souteze/2024-03-16-krajska-strelecka-liga-mladeze-zlinskeho-kraje-3-kolo
2024-03-16,2024-03-16,"""Velikonon stlen 15.ronk""",Borek,"""2. kategorie""","""Mui, eny, Junioi, Juniorky, Dorostenci st., ci 13 a 14 let, ci do 12 let""","""VzPu 60 ISSF, VzPu 40 ISSF, VzPu 30 ISSF vlee""",,,301,2024-03-16,https://shooting.cz/cs/souteze/2024-03-16-velikonocni-strileni-15-rocnik-1
2024-03-16,2024-03-17,"""Sezemick MAMLAS 2024 - Vzduchov puka a pistole 100 ran""",Sezemice,"""3. kategorie""","""Mui, eny""",,,,253,2024-03-16,https://shooting.cz/cs/souteze/2024-03-16-sezemicky-mamlas-2024-vzduchova-puska-a-pistole-100-ran-1
