DATUM OD;DATUM DO;NAZEV;MESTO;TYP;KATEGORIE;DISCIPLINY;PORADATEL;KLUB;KLUB CISLO;REGISTRACE DO;URL
02.03.2024;02.03.2024;Jihoãeská vzduchovka +Jihoãesk˘ KP;Borek;2. kategorie;MuÏi, Ïeny, Dorostenci st.;VzPi 60, VzPi 40, VzPu 60 ISSF, VzPu 40 ISSF;;;301;28.02.2024;https://shooting.cz/cs/souteze/2024-03-02-jihoceska-vzduchovka-jihocesky-kp-1
02.03.2024;02.03.2024;Karlovarská liga VzPu 4.kolo + vyhodnocení;Karlovy Vary - Bﬁezová;2. kategorie;MuÏi, Ïeny, Junioﬁi, Juniorky, Dorostenci st., Dorostenky st., dorostenci ml., dorostenky ml., éáci 13 a 14 let, éákynÏ 13 a 14 let, éáci do 12 let, éákynÏ do 12 let, Senioﬁi;VzPu 60 ISSF, VzPu 40 ISSF, VzPu 30 ISSF vleûe, VzPu 30 ISSF vleûe s oporou;;;258;;https://shooting.cz/cs/souteze/2024-03-02-karlovarska-liga-vzpu-4-kolo-vyhodnoceni-1
02.03.2024;02.03.2024;VC SSK Dukla PlzeÀ Zru‰eno;PlzeÀ;2. kategorie, ZRUäENO;Dorostenci st., éáci 13 a 14 let, éáci do 12 let;VzPu 40 ISSF, VzPu 30 ISSF vleûe;;;370;29.02.2024;https://shooting.cz/cs/souteze/2024-03-02-vc-ssk-dukla-plzen-zruseno
02.03.2024;02.03.2024;Zmrzl˘ stﬁelec;Nová paka;3. kategorie;MuÏi;SP 30+30;SSK Nová Paka ;;192;02.03.2024;https://shooting.cz/cs/souteze/2024-03-02-zmrzly-strelec-1
02.03.2024;02.03.2024;Chomutovská vzduchovková extraliga 2023 - 2024 8.kolo;Chomutov;;MuÏi, MuÏi, Ïeny, Junioﬁi, Dorostenci st., éáci 13 a 14 let, Veteráni;VzPi 60, VzPi 40, VzPu 60 ISSF, VzPu 40 ISSF, VzPu 30 ISSF vleûe;SSK Chomutov;;;15.10.2023;https://shooting.cz/cs/souteze/2023-10-15-chomutovska-vzduchovkova-extraliga-2023-2024-1-kolo-2023-6
02.03.2024;02.03.2024;Pohár SSK Slatina Brno 2023 - 2024 5.kolo + finále;Brno - Zábrdovice;2. kategorie;SH1, MuÏi, Ïeny, Dorostenci st., éáci 13 a 14 let, éáci do 12 let;VzPi 60, VzPi 40, VzPu 60 ISSF, VzPu 40 ISSF, VzPu 30 ISSF vleûe;SSK Slatina Brno ã.0162;;;02.03.2024;https://shooting.cz/cs/souteze/2023-11-14-pohar-ssk-slatina-brno-2023-2024-1-kolo_clone_638909
03.03.2024;03.03.2024;âeskolipská liga 2023/2024 4.kolo;âeská Lípa;2. kategorie;MuÏi, Ïeny, Juniorky, Dorostenci st., éáci 13 a 14 let, éáci do 12 let;VzPi 60, VzPi 40, VzPu 60 ISSF, VzPu 40 ISSF, VzPu 30 ISSF vleûe, VzPu 30 ISSF vleûe s oporou;SSK Manu‰ice;;;25.02.2024;https://shooting.cz/cs/souteze/2023-12-02-ceskolipska-liga-2023-2024-4-kolo-1
03.03.2024;03.03.2024;Extraliga druÏstev 10. roãník 3.kolo ZRUäENO;PlzeÀ;2. kategorie, ZRUäENO;MuÏi;VzPi 40;SSKP Rapid PlzeÀ 0232;;;03.03.2024;https://shooting.cz/cs/souteze/2024-01-28-extraliga-druzstev-10-rocnik-3-kolo
03.03.2024;03.03.2024;Krajská stﬁelecká liga mládeûe Zlínského kraje 2.kolo;Bﬁezolupy;2. kategorie, Kraj;éáci 13 a 14 let, éákynÏ 13 a 14 let, éáci do 12 let, éákynÏ do 12 let;VzPu 30 ISSF vleûe;;;386;28.02.2024;https://shooting.cz/cs/souteze/2024-03-03-krajska-strelecka-liga-mladeze-zlinskeho-kraje-2-kolo-2
03.03.2024;03.03.2024;Putovní pohár SSK 0201 Chrast u Chrudimi 5.kolo;Chrast u Chrudimi;2. kategorie;SH1, MuÏi, Ïeny, Veteráni;VzPi 60, VzPi 40, VzPu 60 ISSF, VzPu 40 ISSF;SSK  0201 Chrast u Chrudimi;;;03.03.2024;https://shooting.cz/cs/souteze/2023-11-05-putovni-pohar-ssk-0201-chrast-u-chrudimi-1-kolo-4
