DATUM OD;DATUM DO;NAZEV;MESTO;TYP;KATEGORIE;DISCIPLINY;PORADATEL;KLUB;KLUB CISLO;REGISTRACE DO;URL
02.03.2024;02.03.2024;Jiho‹esk‡ vzduchovka +Jiho‹eskù KP;Borek;2. kategorie;Muìi, ìeny, Dorostenci st.;VzPi 60, VzPi 40, VzPu 60 ISSF, VzPu 40 ISSF;;;301;28.02.2024;https://shooting.cz/cs/souteze/2024-03-02-jihoceska-vzduchovka-jihocesky-kp-1
02.03.2024;02.03.2024;Karlovarsk‡ liga VzPu 4.kolo + vyhodnocen’;Karlovy Vary - BÞezov‡;2. kategorie;Muìi, ìeny, JunioÞi, Juniorky, Dorostenci st., Dorostenky st., dorostenci ml., dorostenky ml., Ž‡ci 13 a 14 let, Ž‡kynì 13 a 14 let, Ž‡ci do 12 let, Ž‡kynì do 12 let, SenioÞi;VzPu 60 ISSF, VzPu 40 ISSF, VzPu 30 ISSF vleže, VzPu 30 ISSF vleže s oporou;;;258;;https://shooting.cz/cs/souteze/2024-03-02-karlovarska-liga-vzpu-4-kolo-vyhodnoceni-1
02.03.2024;02.03.2024;VC SSK Dukla PlzeË Zruäeno;PlzeË;2. kategorie, ZRUäENO;Dorostenci st., Ž‡ci 13 a 14 let, Ž‡ci do 12 let;VzPu 40 ISSF, VzPu 30 ISSF vleže;;;370;29.02.2024;https://shooting.cz/cs/souteze/2024-03-02-vc-ssk-dukla-plzen-zruseno
02.03.2024;02.03.2024;Zmrzlù stÞelec;Nov‡ paka;3. kategorie;Muìi;SP 30+30;SSK Nov‡ Paka ;;192;02.03.2024;https://shooting.cz/cs/souteze/2024-03-02-zmrzly-strelec-1
02.03.2024;02.03.2024;Chomutovsk‡ vzduchovkov‡ extraliga 2023 - 2024 8.kolo;Chomutov;;Muìi, Muìi, ìeny, JunioÞi, Dorostenci st., Ž‡ci 13 a 14 let, Veter‡ni;VzPi 60, VzPi 40, VzPu 60 ISSF, VzPu 40 ISSF, VzPu 30 ISSF vleže;SSK Chomutov;;;15.10.2023;https://shooting.cz/cs/souteze/2023-10-15-chomutovska-vzduchovkova-extraliga-2023-2024-1-kolo-2023-6
02.03.2024;02.03.2024;Poh‡r SSK Slatina Brno 2023 - 2024 5.kolo + fin‡le;Brno - Z‡brdovice;2. kategorie;SH1, Muìi, ìeny, Dorostenci st., Ž‡ci 13 a 14 let, Ž‡ci do 12 let;VzPi 60, VzPi 40, VzPu 60 ISSF, VzPu 40 ISSF, VzPu 30 ISSF vleže;SSK Slatina Brno ‹.0162;;;02.03.2024;https://shooting.cz/cs/souteze/2023-11-14-pohar-ssk-slatina-brno-2023-2024-1-kolo_clone_638909
03.03.2024;03.03.2024;‰eskolipsk‡ liga 2023/2024 4.kolo;‰esk‡ L’pa;2. kategorie;Muìi, ìeny, Juniorky, Dorostenci st., Ž‡ci 13 a 14 let, Ž‡ci do 12 let;VzPi 60, VzPi 40, VzPu 60 ISSF, VzPu 40 ISSF, VzPu 30 ISSF vleže, VzPu 30 ISSF vleže s oporou;SSK Manuäice;;;25.02.2024;https://shooting.cz/cs/souteze/2023-12-02-ceskolipska-liga-2023-2024-4-kolo-1
03.03.2024;03.03.2024;Extraliga druìstev 10. ro‹n’k 3.kolo ZRUäENO;PlzeË;2. kategorie, ZRUäENO;Muìi;VzPi 40;SSKP Rapid PlzeË 0232;;;03.03.2024;https://shooting.cz/cs/souteze/2024-01-28-extraliga-druzstev-10-rocnik-3-kolo
03.03.2024;03.03.2024;Krajsk‡ stÞeleck‡ liga ml‡deže Zl’nskŽho kraje 2.kolo;BÞezolupy;2. kategorie, Kraj;Ž‡ci 13 a 14 let, Ž‡kynì 13 a 14 let, Ž‡ci do 12 let, Ž‡kynì do 12 let;VzPu 30 ISSF vleže;;;386;28.02.2024;https://shooting.cz/cs/souteze/2024-03-03-krajska-strelecka-liga-mladeze-zlinskeho-kraje-2-kolo-2
03.03.2024;03.03.2024;Putovn’ poh‡r SSK 0201 Chrast u Chrudimi 5.kolo;Chrast u Chrudimi;2. kategorie;SH1, Muìi, ìeny, Veter‡ni;VzPi 60, VzPi 40, VzPu 60 ISSF, VzPu 40 ISSF;SSK  0201 Chrast u Chrudimi;;;03.03.2024;https://shooting.cz/cs/souteze/2023-11-05-putovni-pohar-ssk-0201-chrast-u-chrudimi-1-kolo-4
03.03.2024;03.03.2024;Vrchlabsko - Trutnovsk‡ vzduchovkov‡ liga 2023 fin‡le;Trutnov;2. kategorie;Muìi, ìeny, Dorostenci st., Veter‡ni;VzPi 60, VzPi 40;SSK  äkoda  Vrchlab’  ‹. 0095;;;03.03.2024;https://shooting.cz/cs/souteze/2023-11-05-vrchlabsko-trutnovska-vzduchovkova-liga-2023-1-kolo-clone-508805-clone-983003-clone-600352-clone-106493
